_id,simulationSnapshot,droneId,status,remainingFuel,speed,position.x,position.y
ObjectID(545a1f0efd19ec4943e33933),ObjectID(545a1f0efd19ec4943e33932),1,1,130,90,300,-25
ObjectID(545a1f0efd19ec4943e33934),ObjectID(545a1f0efd19ec4943e33932),2,1,220,90,66,-438
ObjectID(545a1f0efd19ec4943e33935),ObjectID(545a1f0efd19ec4943e33932),3,1,220,90,687,-442
ObjectID(545a2118fd19ec4943e33938),ObjectID(545a2118fd19ec4943e33937),1,1,54.8,90,127,-4
ObjectID(545a2118fd19ec4943e33946),ObjectID(545a2118fd19ec4943e33945),1,1,54.8,90,127,-4
ObjectID(545a211cfd19ec4943e33955),ObjectID(545a211cfd19ec4943e33954),1,1,54.8,90,127,-4
ObjectID(545a211cfd19ec4943e33963),ObjectID(545a211cfd19ec4943e33962),1,1,54.8,90,127,-4
ObjectID(545a212efd19ec4943e33971),ObjectID(545a212efd19ec4943e33970),1,1,54.71424999999959,90,127,-4.4275
ObjectID(545a21ecfd19ec4943e3397e),ObjectID(545a21ecfd19ec4943e3397d),1,1,53.79974999999522,90,127,-9
ObjectID(545a22c1fd19ec4943e3398b),ObjectID(545a22c1fd19ec4943e3398a),1,1,52.77924999999035,90,122.06199,-10.2243
ObjectID(545a22eafd19ec4943e33998),ObjectID(545a22eafd19ec4943e33997),1,1,130,90,300,-25
ObjectID(545a22eafd19ec4943e339a4),ObjectID(545a22eafd19ec4943e33997),2,1,220,90,66,-438
ObjectID(545a22eafd19ec4943e339ae),ObjectID(545a22eafd19ec4943e33997),3,1,220,90,687,-442
ObjectID(545a22eafd19ec4943e339b7),ObjectID(545a22eafd19ec4943e339b6),1,1,130,90,300,-25
ObjectID(545a22eafd19ec4943e339c3),ObjectID(545a22eafd19ec4943e339b6),2,1,220,90,66,-438
ObjectID(545a22eafd19ec4943e339cd),ObjectID(545a22eafd19ec4943e339b6),3,1,220,90,687,-442
ObjectID(545a22eafd19ec4943e339d6),ObjectID(545a22eafd19ec4943e339d5),1,1,129.99975,90,300,-25
ObjectID(545a22eafd19ec4943e339e1),ObjectID(545a22eafd19ec4943e339d5),2,1,220,90,66,-438
ObjectID(545a22eafd19ec4943e339eb),ObjectID(545a22eafd19ec4943e339d5),3,1,220,90,687,-442
ObjectID(545a22eafd19ec4943e339f4),ObjectID(545a22eafd19ec4943e339f3),1,1,129.99975,90,300,-25
ObjectID(545a22eafd19ec4943e339ff),ObjectID(545a22eafd19ec4943e339f3),2,1,219.99975,90,66,-438
ObjectID(545a22eafd19ec4943e33a08),ObjectID(545a22eafd19ec4943e339f3),3,1,220,90,687,-442
ObjectID(545a22ecfd19ec4943e33a11),ObjectID(545a22ecfd19ec4943e33a10),1,1,129.9922500000002,90,299.9673,-25.0183
ObjectID(545a22ecfd19ec4943e33a1c),ObjectID(545a22ecfd19ec4943e33a10),2,1,219.9922500000002,90,66.0258,-437.9727
ObjectID(545a22ecfd19ec4943e33a25),ObjectID(545a22ecfd19ec4943e33a10),3,1,219.9922500000002,90,686.9648999999999,-441.9865
ObjectID(545a22eefd19ec4943e33a2d),ObjectID(545a22eefd19ec4943e33a2c),1,1,129.9847500000004,90,299.9346,-25.0366
ObjectID(545a22eefd19ec4943e33a38),ObjectID(545a22eefd19ec4943e33a2c),2,1,219.9847500000004,90,66.05159999999999,-437.9454
ObjectID(545a22eefd19ec4943e33a41),ObjectID(545a22eefd19ec4943e33a2c),3,1,219.9847500000004,90,686.9298,-441.973
ObjectID(545a22effd19ec4943e33a49),ObjectID(545a22effd19ec4943e33a48),1,1,129.9760000000006,90,299.89645,-25.05795
ObjectID(545a22effd19ec4943e33a54),ObjectID(545a22effd19ec4943e33a48),2,1,219.9760000000006,90,66.0817,-437.91355
ObjectID(545a22effd19ec4943e33a5d),ObjectID(545a22effd19ec4943e33a48),3,1,219.9760000000006,90,686.88885,-441.95725
ObjectID(545a22fefd19ec4943e33a65),ObjectID(545a22fefd19ec4943e33a64),1,1,129.9075000000022,90,299.59779,-25.22509
ObjectID(545a22fefd19ec4943e33a70),ObjectID(545a22fefd19ec4943e33a64),2,1,219.9075000000022,90,66.31734,-437.66421
ObjectID(545a22fefd19ec4943e33a79),ObjectID(545a22fefd19ec4943e33a64),3,1,219.9075000000022,90,686.54635,-441.95725
ObjectID(545a2300fd19ec4943e33a81),ObjectID(545a2300fd19ec4943e33a80),1,1,129.8995000000024,90,299.56291,-25.24461
ObjectID(545a2300fd19ec4943e33a8c),ObjectID(545a2300fd19ec4943e33a80),2,1,219.8995000000024,90,66.34486,-437.63509
ObjectID(545a2300fd19ec4943e33a95),ObjectID(545a2300fd19ec4943e33a80),3,1,219.8995000000024,90,686.50635,-441.95725
ObjectID(545a2304fd19ec4943e33a9d),ObjectID(545a2304fd19ec4943e33a9c),1,1,129.8807500000028,90,299.48116,-25.29036
ObjectID(545a2304fd19ec4943e33aa8),ObjectID(545a2304fd19ec4943e33a9c),2,1,219.8807500000028,90,66.40936000000001,-437.56684
ObjectID(545a2304fd19ec4943e33ab1),ObjectID(545a2304fd19ec4943e33a9c),3,1,219.8807500000028,90,686.4126,-441.95725
ObjectID(545a230efd19ec4943e33ab9),ObjectID(545a230efd19ec4943e33ab8),1,1,129.8337500000039,90,299.27624,-25.40504
ObjectID(545a230efd19ec4943e33ac4),ObjectID(545a230efd19ec4943e33ab8),2,1,219.8337500000039,90,66.57104,-437.39576
ObjectID(545a230efd19ec4943e33acd),ObjectID(545a230efd19ec4943e33ab8),3,1,219.8337500000039,90,686.1776,-441.95725
ObjectID(545a2311fd19ec4943e33ad5),ObjectID(545a2311fd19ec4943e33ad4),1,1,129.8190000000043,90,299.21193,-25.44103
ObjectID(545a2311fd19ec4943e33ae0),ObjectID(545a2311fd19ec4943e33ad4),2,1,219.8190000000043,90,66.62178,-437.34207
ObjectID(545a2311fd19ec4943e33ae9),ObjectID(545a2311fd19ec4943e33ad4),3,1,219.8190000000043,90,686.10385,-441.95725
ObjectID(545a2315fd19ec4943e33af1),ObjectID(545a2315fd19ec4943e33af0),1,1,124.9547500000047,90,278.01432,-37.36548
ObjectID(545a2315fd19ec4943e33afc),ObjectID(545a2315fd19ec4943e33af0),2,1,214.9547500000047,90,83.3612,-419.69828
