_id,simulation,simulationSpeed,elapsedRealTime,elapsedSimulationTime,cause.id,cause.params.inputId,cause.params.droneId,cause.params.detectorId,cause.params.controlModeId,cause.params.selected,cause.params.controlMode.id,cause.params.controlMode.key,cause.params.incidentId,cause.params.incidentType,cause.params.targetPosition,cause.params.type,cause.params.id
ObjectID(545a1f0efd19ec4943e33932),ObjectID(545a1f0efd19ec4943e33931),1,0,0,,,,,,,,,,,,,
ObjectID(545a2118fd19ec4943e33937),ObjectID(545a2118fd19ec4943e33936),1,0,0,,,,,,,,,,,,,
ObjectID(545a2118fd19ec4943e33945),ObjectID(545a2118fd19ec4943e33936),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a211cfd19ec4943e33954),ObjectID(545a211cfd19ec4943e33953),1,0,0,,,,,,,,,,,,,
ObjectID(545a211cfd19ec4943e33962),ObjectID(545a211cfd19ec4943e33953),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a212efd19ec4943e33970),ObjectID(545a211cfd19ec4943e33953),1,17200,17200,0,0,1,,,,,,,,,,
ObjectID(545a21ecfd19ec4943e3397d),ObjectID(545a211cfd19ec4943e33953),1,200100,200100,1,,1,,,,,,,,,,
ObjectID(545a22c1fd19ec4943e3398a),ObjectID(545a211cfd19ec4943e33953),1,404200,404200,0,5,,,,true,,,,,,,
ObjectID(545a22eafd19ec4943e33997),ObjectID(545a22eafd19ec4943e33996),1,0,0,,,,,,,,,,,,,
ObjectID(545a22eafd19ec4943e339b6),ObjectID(545a22eafd19ec4943e33996),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a22eafd19ec4943e339d5),ObjectID(545a22eafd19ec4943e33996),1,50,50,1,,2,,,,,,,,,,
ObjectID(545a22eafd19ec4943e339f3),ObjectID(545a22eafd19ec4943e33996),1,50,50,1,,3,,,,,,,,,,
ObjectID(545a22ecfd19ec4943e33a10),ObjectID(545a22eafd19ec4943e33996),1,1600,1600,0,0,1,,,,,,,,,,
ObjectID(545a22eefd19ec4943e33a2c),ObjectID(545a22eafd19ec4943e33996),1,3100,3100,0,0,3,,,,,,,,,,
ObjectID(545a22effd19ec4943e33a48),ObjectID(545a22eafd19ec4943e33996),1,4850,4850,0,4,3,,,,,,,,,,
ObjectID(545a22fefd19ec4943e33a64),ObjectID(545a22eafd19ec4943e33996),1,18550,18550,0,0,2,,,,,,,,,,
ObjectID(545a2300fd19ec4943e33a80),ObjectID(545a22eafd19ec4943e33996),1,20150,20150,0,0,1,,,,,,,,,,
ObjectID(545a2304fd19ec4943e33a9c),ObjectID(545a22eafd19ec4943e33996),1,23900,23900,0,0,3,,,,,,,,,,
ObjectID(545a230efd19ec4943e33ab8),ObjectID(545a22eafd19ec4943e33996),1,33300,33300,0,0,2,,,,,,,,,,
ObjectID(545a2311fd19ec4943e33ad4),ObjectID(545a22eafd19ec4943e33996),304,36250,36250,0,2,,,,,,,,,,,
ObjectID(545a2315fd19ec4943e33af0),ObjectID(545a22eafd19ec4943e33996),304,39450,1009050,2,,,,,,,,1,"PayloadIncident",,,
ObjectID(545a2315fd19ec4943e33b0c),ObjectID(545a22eafd19ec4943e33996),557,39950,1161050,0,2,,,,,,,,,,,
ObjectID(545a2317fd19ec4943e33b28),ObjectID(545a22eafd19ec4943e33996),557,41500,2024400,2,,,,,,,,2,"DangerAreaIncident",,,
ObjectID(545a231afd19ec4943e33b44),ObjectID(545a22eafd19ec4943e33996),557,44500,3695400,1,,1,,,,,,,,,,
ObjectID(545a231bfd19ec4943e33b60),ObjectID(545a22eafd19ec4943e33996),557,45050,4001750,1,,3,,,,,,,,,,
ObjectID(545a231bfd19ec4943e33b7b),ObjectID(545a22eafd19ec4943e33996),557,45050,4001750,2,,,,,,,,3,"DangerAreaIncident",,,
ObjectID(545a231cfd19ec4943e33b95),ObjectID(545a22eafd19ec4943e33996),557,45650,4335950,1,,2,,,,,,,,,,
ObjectID(545a231cfd19ec4943e33baf),ObjectID(545a22eafd19ec4943e33996),557,45650,4335950,6,,2,,,,,,,,,"surveillance","surveillance_uav_2_area_1"
ObjectID(545a2322fd19ec4943e33bcc),ObjectID(545a22eafd19ec4943e33996),557,51750,7733650,1,,3,,,,,,,,,,
ObjectID(545a2322fd19ec4943e33be9),ObjectID(545a22eafd19ec4943e33996),557,51750,7733650,6,,3,,,,,,,,,"surveillance","surveillance_uav_3_area_2"
ObjectID(545a2323fd19ec4943e33c07),ObjectID(545a22eafd19ec4943e33996),557,52250,8012150,2,,,,,,,,0,"DangerAreaIncident",,,
ObjectID(545a2324fd19ec4943e33c25),ObjectID(545a22eafd19ec4943e33996),557,53100,8485600,4,,,2,,,,,,,"[ 178.5668799999999, -246.4052600000011 ]",,
ObjectID(545a2325fd19ec4943e33c43),ObjectID(545a22eafd19ec4943e33996),557,53700,8819800,1,,1,,,,,,,,,,
ObjectID(545a2328fd19ec4943e33c61),ObjectID(545a22eafd19ec4943e33996),557,56550,10407250,1,,2,,,,,,,,,,
ObjectID(545a232dfd19ec4943e33c7e),ObjectID(545a22eafd19ec4943e33996),557,61600,13220100,1,,3,,,,,,,,,,
